sample	species	abundance
SL259927	Corynebacterium_glucuronolyticum	0
SL259928	Corynebacterium_glucuronolyticum	0
SL259934	Corynebacterium_glucuronolyticum	0
SL259935	Corynebacterium_glucuronolyticum	0
SL259936	Corynebacterium_glucuronolyticum	0
SL259937	Corynebacterium_glucuronolyticum	0
SL259943	Corynebacterium_glucuronolyticum	0
SL259944	Corynebacterium_glucuronolyticum	0
SL259945	Corynebacterium_glucuronolyticum	0
SL259946	Corynebacterium_glucuronolyticum	0
SL259925	Corynebacterium_jeikeium	0
SL259926	Corynebacterium_jeikeium	0
SL259927	Corynebacterium_jeikeium	0
SL259928	Corynebacterium_jeikeium	0
SL259934	Corynebacterium_jeikeium	0
SL259935	Corynebacterium_jeikeium	0
SL259936	Corynebacterium_jeikeium	0
SL259937	Corynebacterium_jeikeium	0
SL259943	Corynebacterium_jeikeium	0
SL259944	Corynebacterium_jeikeium	0
SL259945	Corynebacterium_jeikeium	0
SL259946	Corynebacterium_jeikeium	0
SL259925	Corynebacterium_kroppenstedtii	0
SL259926	Corynebacterium_kroppenstedtii	0
SL259927	Corynebacterium_kroppenstedtii	0
SL259928	Corynebacterium_kroppenstedtii	0
SL259934	Corynebacterium_kroppenstedtii	0
SL259935	Corynebacterium_kroppenstedtii	0
SL259936	Corynebacterium_kroppenstedtii	0
SL259937	Corynebacterium_kroppenstedtii	0
SL259943	Corynebacterium_kroppenstedtii	0
SL259944	Corynebacterium_kroppenstedtii	0
SL259945	Corynebacterium_kroppenstedtii	0
SL259946	Corynebacterium_kroppenstedtii	0
SL259925	Corynebacterium_lipophiloflavum	0
SL259926	Corynebacterium_lipophiloflavum	0
SL259927	Corynebacterium_lipophiloflavum	0
SL259928	Corynebacterium_lipophiloflavum	0
SL259934	Corynebacterium_lipophiloflavum	0
SL259935	Corynebacterium_lipophiloflavum	0
SL259936	Corynebacterium_lipophiloflavum	0
SL259937	Corynebacterium_lipophiloflavum	0
SL259943	Corynebacterium_lipophiloflavum	0
SL259944	Corynebacterium_lipophiloflavum	0
SL259945	Corynebacterium_lipophiloflavum	0
SL259946	Corynebacterium_lipophiloflavum	0
SL259925	Corynebacterium_matruchotii	0
SL259926	Corynebacterium_matruchotii	0
SL259927	Corynebacterium_matruchotii	0
SL259928	Corynebacterium_matruchotii	0
SL259934	Corynebacterium_matruchotii	0
SL259935	Corynebacterium_matruchotii	0
SL259936	Corynebacterium_matruchotii	0
SL259937	Corynebacterium_matruchotii	0
SL259943	Corynebacterium_matruchotii	0
SL259944	Corynebacterium_matruchotii	0
SL259945	Corynebacterium_matruchotii	0
SL259946	Corynebacterium_matruchotii	0
SL259925	Corynebacterium_propinquum	0
SL259926	Corynebacterium_propinquum	0
SL259927	Corynebacterium_propinquum	0
SL259928	Corynebacterium_propinquum	0
SL259934	Corynebacterium_propinquum	0
SL259935	Corynebacterium_propinquum	0
SL259936	Corynebacterium_propinquum	0
SL259937	Corynebacterium_propinquum	0
SL259943	Corynebacterium_propinquum	0
SL259944	Corynebacterium_propinquum	0
SL259945	Corynebacterium_propinquum	0
SL259946	Corynebacterium_propinquum	0
SL259925	Corynebacterium_pseudodiphtheriticum	0
SL259926	Corynebacterium_pseudodiphtheriticum	0
SL259927	Corynebacterium_pseudodiphtheriticum	0
SL259928	Corynebacterium_pseudodiphtheriticum	0
SL259934	Corynebacterium_pseudodiphtheriticum	0
SL259935	Corynebacterium_pseudodiphtheriticum	0
SL259936	Corynebacterium_pseudodiphtheriticum	0
SL259937	Corynebacterium_pseudodiphtheriticum	0
SL259943	Corynebacterium_pseudodiphtheriticum	0
SL259944	Corynebacterium_pseudodiphtheriticum	0
SL259945	Corynebacterium_pseudodiphtheriticum	0
SL259946	Corynebacterium_pseudodiphtheriticum	0
SL259925	Corynebacterium_pseudogenitalium	0
SL259926	Corynebacterium_pseudogenitalium	0
SL259927	Corynebacterium_pseudogenitalium	0
SL259928	Corynebacterium_pseudogenitalium	0
SL259934	Corynebacterium_pseudogenitalium	0
SL259935	Corynebacterium_pseudogenitalium	0
SL259936	Corynebacterium_pseudogenitalium	0
SL259937	Corynebacterium_pseudogenitalium	0
SL259943	Corynebacterium_pseudogenitalium	0
SL259944	Corynebacterium_pseudogenitalium	0
SL259945	Corynebacterium_pseudogenitalium	0
SL259946	Corynebacterium_pseudogenitalium	0
SL259925	Corynebacterium_pyruviciproducens	0
SL259926	Corynebacterium_pyruviciproducens	0
SL259927	Corynebacterium_pyruviciproducens	0
SL259928	Corynebacterium_pyruviciproducens	0
SL259934	Corynebacterium_pyruviciproducens	0
SL259935	Corynebacterium_pyruviciproducens	0
SL259936	Corynebacterium_pyruviciproducens	0
SL259937	Corynebacterium_pyruviciproducens	0
SL259943	Corynebacterium_pyruviciproducens	0
SL259944	Corynebacterium_pyruviciproducens	0
SL259945	Corynebacterium_pyruviciproducens	0
SL259946	Corynebacterium_pyruviciproducens	0
SL259925	Corynebacterium_striatum	0
SL259926	Corynebacterium_striatum	0
SL259927	Corynebacterium_striatum	0
SL259928	Corynebacterium_striatum	0
SL259934	Corynebacterium_striatum	0
SL259935	Corynebacterium_striatum	0
SL259936	Corynebacterium_striatum	0
SL259937	Corynebacterium_striatum	0
SL259943	Corynebacterium_striatum	0
SL259944	Corynebacterium_striatum	0
SL259945	Corynebacterium_striatum	0
SL259946	Corynebacterium_striatum	0
SL259925	Corynebacterium_tuberculostearicum	0
SL259926	Corynebacterium_tuberculostearicum	0
SL259927	Corynebacterium_tuberculostearicum	0
SL259928	Corynebacterium_tuberculostearicum	0
SL259934	Corynebacterium_tuberculostearicum	0
SL259935	Corynebacterium_tuberculostearicum	0
SL259936	Corynebacterium_tuberculostearicum	0
SL259937	Corynebacterium_tuberculostearicum	0
SL259943	Corynebacterium_tuberculostearicum	0
SL259944	Corynebacterium_tuberculostearicum	0
SL259945	Corynebacterium_tuberculostearicum	0
SL259946	Corynebacterium_tuberculostearicum	0
SL259925	Corynebacterium_urealyticum	0.14701
SL259926	Corynebacterium_urealyticum	0
SL259927	Corynebacterium_urealyticum	0
SL259928	Corynebacterium_urealyticum	0
SL259934	Corynebacterium_urealyticum	0
SL259935	Corynebacterium_urealyticum	0
SL259936	Corynebacterium_urealyticum	0
SL259937	Corynebacterium_urealyticum	0
SL259943	Corynebacterium_urealyticum	0
SL259944	Corynebacterium_urealyticum	0
SL259945	Corynebacterium_urealyticum	0
SL259946	Corynebacterium_urealyticum	0
SL259925	Corynebacterium_variabile	0
SL259926	Corynebacterium_variabile	0
SL259927	Corynebacterium_variabile	0
SL259928	Corynebacterium_variabile	0
SL259934	Corynebacterium_variabile	0
SL259935	Corynebacterium_variabile	0
SL259936	Corynebacterium_variabile	0
SL259937	Corynebacterium_variabile	0
SL259943	Corynebacterium_variabile	0
SL259944	Corynebacterium_variabile	0
SL259945	Corynebacterium_variabile	0
SL259946	Corynebacterium_variabile	0
SL259925	Turicella_otitidis	0.5095
SL259926	Turicella_otitidis	0
SL259927	Turicella_otitidis	0.01375
SL259928	Turicella_otitidis	0.81832
SL259934	Turicella_otitidis	0
SL259935	Turicella_otitidis	0
SL259936	Turicella_otitidis	0
SL259937	Turicella_otitidis	0.02271
SL259943	Turicella_otitidis	0
SL259944	Turicella_otitidis	0
SL259945	Turicella_otitidis	0
SL259946	Turicella_otitidis	0
SL259925	Brachybacterium_muris	0
SL259926	Brachybacterium_muris	0
SL259927	Brachybacterium_muris	0
SL259928	Brachybacterium_muris	0
SL259934	Brachybacterium_muris	0
SL259935	Brachybacterium_muris	0
SL259936	Brachybacterium_muris	0
SL259937	Brachybacterium_muris	0
SL259943	Brachybacterium_muris	0
SL259944	Brachybacterium_muris	0
SL259945	Brachybacterium_muris	0
SL259946	Brachybacterium_muris	0
SL259925	Brachybacterium_paraconglomeratum	0
SL259926	Brachybacterium_paraconglomeratum	0
SL259927	Brachybacterium_paraconglomeratum	0
SL259928	Brachybacterium_paraconglomeratum	0
SL259934	Brachybacterium_paraconglomeratum	0
SL259935	Brachybacterium_paraconglomeratum	0
SL259936	Brachybacterium_paraconglomeratum	0
SL259937	Brachybacterium_paraconglomeratum	0
SL259943	Brachybacterium_paraconglomeratum	0
SL259944	Brachybacterium_paraconglomeratum	0
SL259945	Brachybacterium_paraconglomeratum	0
SL259946	Brachybacterium_paraconglomeratum	0
SL259925	Brachybacterium_squillarum	0
SL259926	Brachybacterium_squillarum	0
SL259927	Brachybacterium_squillarum	0
SL259928	Brachybacterium_squillarum	0
SL259934	Brachybacterium_squillarum	0
SL259935	Brachybacterium_squillarum	0
SL259936	Brachybacterium_squillarum	0
SL259937	Brachybacterium_squillarum	0
SL259943	Brachybacterium_squillarum	0
SL259944	Brachybacterium_squillarum	0
SL259945	Brachybacterium_squillarum	0
SL259946	Brachybacterium_squillarum	0
SL259925	Brachybacterium_unclassified	0
SL259926	Brachybacterium_unclassified	0
SL259927	Brachybacterium_unclassified	0
SL259928	Brachybacterium_unclassified	0
SL259934	Brachybacterium_unclassified	0
SL259935	Brachybacterium_unclassified	0
SL259936	Brachybacterium_unclassified	0
SL259937	Brachybacterium_unclassified	0.01181
SL259943	Brachybacterium_unclassified	0
SL259944	Brachybacterium_unclassified	0
SL259945	Brachybacterium_unclassified	0
SL259946	Brachybacterium_unclassified	0
SL259925	Dermabacter_sp_HFH0086	0
SL259926	Dermabacter_sp_HFH0086	0
SL259927	Dermabacter_sp_HFH0086	0
SL259928	Dermabacter_sp_HFH0086	0
SL259934	Dermabacter_sp_HFH0086	0
SL259935	Dermabacter_sp_HFH0086	0
SL259936	Dermabacter_sp_HFH0086	0
SL259937	Dermabacter_sp_HFH0086	0
SL259943	Dermabacter_sp_HFH0086	0
SL259944	Dermabacter_sp_HFH0086	0
SL259945	Dermabacter_sp_HFH0086	0
SL259946	Dermabacter_sp_HFH0086	0
SL259925	Dermacoccus_sp_Ellin185	0
SL259926	Dermacoccus_sp_Ellin185	0
SL259927	Dermacoccus_sp_Ellin185	0
SL259928	Dermacoccus_sp_Ellin185	0
SL259934	Dermacoccus_sp_Ellin185	0
SL259935	Dermacoccus_sp_Ellin185	0
SL259936	Dermacoccus_sp_Ellin185	0
SL259937	Dermacoccus_sp_Ellin185	0
SL259943	Dermacoccus_sp_Ellin185	0
SL259944	Dermacoccus_sp_Ellin185	0
SL259945	Dermacoccus_sp_Ellin185	0
SL259946	Dermacoccus_sp_Ellin185	0
SL259925	Kytococcus_sedentarius	0
SL259926	Kytococcus_sedentarius	0
SL259927	Kytococcus_sedentarius	0
SL259928	Kytococcus_sedentarius	0
SL259934	Kytococcus_sedentarius	0
SL259935	Kytococcus_sedentarius	0
SL259936	Kytococcus_sedentarius	0
SL259937	Kytococcus_sedentarius	0
SL259943	Kytococcus_sedentarius	0
SL259944	Kytococcus_sedentarius	0
SL259945	Kytococcus_sedentarius	0
SL259946	Kytococcus_sedentarius	0
SL259925	Dietzia_cinnamea	0
SL259926	Dietzia_cinnamea	0
SL259927	Dietzia_cinnamea	0
SL259928	Dietzia_cinnamea	0
SL259934	Dietzia_cinnamea	0
SL259935	Dietzia_cinnamea	0
SL259936	Dietzia_cinnamea	0
SL259937	Dietzia_cinnamea	0
SL259943	Dietzia_cinnamea	0
SL259944	Dietzia_cinnamea	0
SL259945	Dietzia_cinnamea	0
SL259946	Dietzia_cinnamea	0
SL259925	Dietzia_unclassified	0
SL259926	Dietzia_unclassified	0
SL259927	Dietzia_unclassified	0
SL259928	Dietzia_unclassified	0.11467
SL259934	Dietzia_unclassified	0
SL259935	Dietzia_unclassified	0
SL259936	Dietzia_unclassified	0
SL259937	Dietzia_unclassified	0
SL259943	Dietzia_unclassified	0
SL259944	Dietzia_unclassified	0
SL259945	Dietzia_unclassified	0
SL259946	Dietzia_unclassified	0
SL259925	Modestobacter_multiseptatus	0
SL259926	Modestobacter_multiseptatus	0
SL259927	Modestobacter_multiseptatus	0
SL259928	Modestobacter_multiseptatus	0
SL259934	Modestobacter_multiseptatus	0
SL259935	Modestobacter_multiseptatus	0
SL259936	Modestobacter_multiseptatus	0
SL259937	Modestobacter_multiseptatus	0
SL259943	Modestobacter_multiseptatus	0
SL259944	Modestobacter_multiseptatus	0
SL259945	Modestobacter_multiseptatus	0
SL259946	Modestobacter_multiseptatus	0
SL259925	Gordonia_aichiensis	0
